Data type,Cancer group/site,Year,Sex,State or Territory,Count,"Age-standardised rate
(per 100,000)",ICD10 codes
Mortality,Melanoma of the skin,2010,Females,Tasmania,11,3.5,C43
Mortality,Melanoma of the skin,2010,Females,Australian Capital Territory,9,5.5,C43
Mortality,Melanoma of the skin,2010,Females,Northern Territory,0,0,C43
Mortality,Melanoma of the skin,2016,Males,New South Wales,295,6.8,C43
Mortality,Melanoma of the skin,2016,Males,Victoria,177,5.4,C43
Mortality,Melanoma of the skin,2016,Males,Queensland,204,8.2,C43
Mortality,Melanoma of the skin,2016,Males,Western Australia,89,6.9,C43
Mortality,Melanoma of the skin,2016,Males,South Australia,52,4.9,C43
Mortality,Melanoma of the skin,2016,Males,Tasmania,24,7.2,C43
Mortality,Melanoma of the skin,2016,Males,Australian Capital Territory,10,5.9,C43
Mortality,Melanoma of the skin,2016,Males,Northern Territory,1,n.p.,C43
Mortality,Melanoma of the skin,2016,Females,New South Wales,143,2.7,C43
Mortality,Melanoma of the skin,2016,Females,Victoria,84,2.3,C43
Mortality,Melanoma of the skin,2016,Females,Queensland,98,3.3,C43
Mortality,Melanoma of the skin,2016,Females,Western Australia,37,2.5,C43
Mortality,Melanoma of the skin,2016,Females,South Australia,43,3.4,C43
Mortality,Melanoma of the skin,2016,Females,Tasmania,11,3,C43
Mortality,Melanoma of the skin,2016,Females,Australian Capital Territory,6,3.1,C43
Mortality,Melanoma of the skin,2016,Females,Northern Territory,2,n.p.,C43
