Data type,Cancer group/site,Year,Sex,Age group (years),Count,"Age-specific rate
(per 100,000)","Age-standardised rate
(per 100,000)",Mean age (years),Median age (years),,ICD10 codes
Actual,Melanoma of the skin,1985,Males,15–19,5,0.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Males,20–24,6,0.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Males,25–29,14,2.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Males,30–34,14,2.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Males,35–39,27,4.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Males,40–44,21,4.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Males,45–49,25,6.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Males,50–54,36,9.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Males,55–59,41,10.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Males,60–64,53,15.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Males,65–69,51,20.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Males,70–74,47,22.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Males,75–79,27,21.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Males,80–84,22,34.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Males,85–89,11,46.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Males,90+,2,23.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Males,15–19,3,0.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Males,20–24,6,0.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Males,25–29,9,1.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Males,30–34,26,4.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Males,35–39,20,3.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Males,40–44,24,4.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Males,45–49,21,4.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Males,50–54,32,8.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Males,55–59,39,10.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Males,60–64,42,11.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Males,65–69,51,19.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Males,70–74,59,28.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Males,75–79,48,36.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Males,80–84,21,31.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Males,85–89,12,46.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Males,90+,5,57.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Males,15–19,2,0.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Males,20–24,6,0.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Males,25–29,13,1.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Males,30–34,30,4.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Males,35–39,24,3.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Males,40–44,30,5.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Males,45–49,26,5.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Males,50–54,33,8.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Males,55–59,54,14.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Males,60–64,63,17.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Males,65–69,55,19.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Males,70–74,70,32.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Males,75–79,52,37.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Males,80–84,37,52.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Males,85–89,15,55.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Males,90+,7,77.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Males,15–19,2,0.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Males,20–24,3,0.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Males,25–29,10,1.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Males,30–34,18,2.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Males,35–39,25,3.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Males,40–44,32,5.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Males,45–49,25,5.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Males,50–54,44,11.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Males,55–59,57,15.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Males,60–64,57,15.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Males,65–69,65,22.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Males,70–74,59,27.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Males,75–79,40,27.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Males,80–84,21,28.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Males,85–89,20,69.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Males,90+,1,10.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Males,15–19,3,0.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Males,20–24,2,0.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Males,25–29,7,1.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Males,30–34,15,2.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Males,35–39,22,3.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Males,40–44,22,3.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Males,45–49,33,6.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Males,50–54,39,9.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Males,55–59,54,14.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Males,60–64,60,16.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Males,65–69,67,21.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Males,70–74,70,33.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Males,75–79,58,38.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Males,80–84,33,42.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Males,85–89,13,42.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Males,90+,3,31.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Males,00–04,1,0.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Males,15–19,1,0.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Males,20–24,3,0.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Males,25–29,9,1.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Males,30–34,15,2.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Males,35–39,21,3.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Males,40–44,28,4.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Males,45–49,38,7.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Males,50–54,49,11.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Males,55–59,49,13.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Males,60–64,60,16.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Males,65–69,70,22.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Males,70–74,60,27.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Males,75–79,58,37.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Males,80–84,31,38.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Males,85–89,16,50.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Males,90+,3,29.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1991,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1991,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1991,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1991,Males,15–19,1,0.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1991,Males,20–24,3,0.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1991,Males,25–29,3,0.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1991,Males,30–34,17,2.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1991,Males,35–39,19,2.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1991,Males,40–44,33,5.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1991,Males,45–49,26,4.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1991,Males,50–54,50,11.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1991,Males,55–59,40,10.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1991,Males,60–64,64,17.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1991,Males,65–69,71,22.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1991,Males,70–74,63,27.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1991,Males,75–79,61,38.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1991,Males,80–84,35,41.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1991,Males,85–89,19,56.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1991,Males,90+,7,67.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1991,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1992,Males,00–04,1,0.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1992,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1992,Males,10–14,1,0.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1992,Males,15–19,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1992,Males,20–24,5,0.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1992,Males,25–29,8,1.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1992,Males,30–34,19,2.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1992,Males,35–39,22,3.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1992,Males,40–44,23,3.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1992,Males,45–49,37,6.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1992,Males,50–54,25,5.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1992,Males,55–59,39,10.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1992,Males,60–64,59,16.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1992,Males,65–69,66,20.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1992,Males,70–74,77,32.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1992,Males,75–79,66,40.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1992,Males,80–84,47,53.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1992,Males,85–89,22,61.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1992,Males,90+,6,52.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1992,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1993,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1993,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1993,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1993,Males,15–19,2,0.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1993,Males,20–24,6,0.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1993,Males,25–29,10,1.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1993,Males,30–34,19,2.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1993,Males,35–39,20,2.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1993,Males,40–44,39,6.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1993,Males,45–49,33,5.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1993,Males,50–54,43,9.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1993,Males,55–59,52,13.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1993,Males,60–64,70,19.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1993,Males,65–69,72,21.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1993,Males,70–74,77,30.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1993,Males,75–79,65,39.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1993,Males,80–84,45,48.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1993,Males,85–89,18,47.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1993,Males,90+,10,80.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1993,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1994,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1994,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1994,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1994,Males,15–19,1,0.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1994,Males,20–24,4,0.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1994,Males,25–29,5,0.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1994,Males,30–34,12,1.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1994,Males,35–39,22,3.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1994,Males,40–44,39,5.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1994,Males,45–49,39,6.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1994,Males,50–54,43,9.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1994,Males,55–59,33,8.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1994,Males,60–64,68,19.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1994,Males,65–69,91,27.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1994,Males,70–74,84,31.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1994,Males,75–79,79,48.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1994,Males,80–84,57,58.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1994,Males,85–89,23,57.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1994,Males,90+,9,66.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1994,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1995,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1995,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1995,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1995,Males,15–19,3,0.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1995,Males,20–24,1,0.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1995,Males,25–29,13,1.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1995,Males,30–34,15,2.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1995,Males,35–39,18,2.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1995,Males,40–44,40,6.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1995,Males,45–49,32,5.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1995,Males,50–54,39,7.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1995,Males,55–59,46,11.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1995,Males,60–64,64,18.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1995,Males,65–69,75,22.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1995,Males,70–74,75,27.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1995,Males,75–79,96,56.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1995,Males,80–84,49,47.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1995,Males,85–89,29,68.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1995,Males,90+,6,41.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1995,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1996,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1996,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1996,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1996,Males,15–19,2,0.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1996,Males,20–24,2,0.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1996,Males,25–29,10,1.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1996,Males,30–34,15,2.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1996,Males,35–39,27,3.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1996,Males,40–44,19,2.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1996,Males,45–49,39,6.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1996,Males,50–54,40,7.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1996,Males,55–59,31,7.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1996,Males,60–64,55,15.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1996,Males,65–69,83,24.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1996,Males,70–74,68,24.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1996,Males,75–79,88,49.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1996,Males,80–84,56,53.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1996,Males,85–89,37,83.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1996,Males,90+,10,64.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1996,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1997,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1997,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1997,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1997,Males,15–19,1,0.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1997,Males,20–24,2,0.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1997,Males,25–29,4,0.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1997,Males,30–34,10,1.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1997,Males,35–39,14,1.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1997,Males,40–44,31,4.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1997,Males,45–49,40,6.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1997,Males,50–54,42,7.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1997,Males,55–59,46,10.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1997,Males,60–64,60,16.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1997,Males,65–69,84,25.0,. .,. .,. ., ,C43
